('Alex Rogers', 'BARBARIAN', 'HALFLING', 15187, 20)
('Paul Murphy', 'RANGER', 'TIEFLING', 16082, 6)
('Christina Porter', 'FIGHTER', 'DRAGONBORN', 11251, 7)
('John Shah', 'MONK', 'ELF', 11886, 3)
('Zachary Brewer', 'BARBARIAN', 'DWARF', 19535, 3)
('Brian Coleman', 'RANGER', 'DRAGONBORN', 11710, 14)
('Megan Clark', 'CLERIC', 'DRAGONBORN', 9234, 5)
('Hannah Higgins', 'WIZARD', 'DRAGONBORN', 5780, 12)
('Jeremy Baker', 'ROGUE', 'ELF', 7563, 16)
('Christopher Johnson', 'CLERIC', 'GNOME', 3032, 6)
('Eric Garza', 'CLERIC', 'HALF_ELF', 3676, 3)
('Martin Lyons', 'WIZARD', 'DRAGONBORN', 14733, 8)
('Jeremy Miller', 'WARLOCK', 'DRAGONBORN', 19813, 11)
('Holly Stevenson', 'MONK', 'GNOME', 14746, 13)
('Samantha Figueroa', 'RANGER', 'ELF', 2287, 4)
('Valerie Ruiz', 'WARLOCK', 'TIEFLING', 15503, 20)
('David Adams', 'WARLOCK', 'HALFLING', 15074, 8)
('Mackenzie Ingram', 'ROGUE', 'GNOME', 18048, 4)
('Heather Lawson', 'ARTIFICER', 'GNOME', 6168, 11)
('Jose Davis', 'ROGUE', 'HALF_ELF', 3948, 20)
('Jacqueline Stevenson', 'PALADIN', 'TIEFLING', 6731, 16)
('Amanda Wood', 'ROGUE', 'HALF_ORC', 14864, 7)
('Sherry Reyes PhD', 'SORCERER', 'HALF_ELF', 17549, 19)
('Eric Haney', 'ARTIFICER', 'ELF', 6960, 6)
('Julie Sparks', 'MONK', 'DWARF', 18018, 10)
('Chris Perez', 'PALADIN', 'GNOME', 11257, 12)
('Michael Colon', 'DRUID', 'DRAGONBORN', 4386, 17)
('James Mccall', 'FIGHTER', 'ELF', 18043, 12)
('Kenneth Stuart', 'FIGHTER', 'DRAGONBORN', 14596, 7)
('Manuel Johnson', 'WIZARD', 'TIEFLING', 16797, 1)
('Misty Pruitt', 'ARTIFICER', 'HALF_ORC', 6645, 7)
('Charles Perez', 'SORCERER', 'HALF_ORC', 14863, 8)
('Katrina Sparks', 'SORCERER', 'HUMAN', 12385, 13)
('Kaitlyn Stewart', 'ARTIFICER', 'TIEFLING', 4372, 20)
('Justin Tyler', 'WIZARD', 'HALF_ELF', 1139, 2)
('Corey Williams', 'WARLOCK', 'HALF_ORC', 14583, 19)
('Tina Walker', 'ARTIFICER', 'TIEFLING', 8924, 6)
('Matthew West', 'WARLOCK', 'HALF_ELF', 1747, 11)
('Dr. Jordan Trujillo II', 'ARTIFICER', 'HALF_ORC', 3827, 19)
('Diana Smith', 'CLERIC', 'TIEFLING', 275, 14)
('Jason Martinez', 'CLERIC', 'HALFLING', 19390, 6)
('Laurie Bryant', 'WIZARD', 'ELF', 16429, 19)
('James Phillips', 'CLERIC', 'TIEFLING', 3560, 2)
('Joshua Heath', 'FIGHTER', 'ELF', 14636, 6)
('Matthew Rodriguez', 'RANGER', 'HUMAN', 2813, 15)
('Michael Frazier', 'PALADIN', 'GNOME', 13620, 4)
('Dale Stevens', 'BARD', 'TIEFLING', 8435, 19)
('Mrs. Latoya Benton', 'ROGUE', 'DWARF', 13952, 1)
('Kevin Smith', 'SORCERER', 'HALF_ELF', 4480, 17)
('Steven Lawson', 'WARLOCK', 'TIEFLING', 12125, 7)
('Christopher Morris', 'MONK', 'DWARF', 16957, 17)
('Robert Hensley', 'WARLOCK', 'HUMAN', 8755, 11)
('Charles Moran', 'DRUID', 'HALF_ELF', 118, 20)
('Adrienne White', 'PALADIN', 'TIEFLING', 18936, 4)
('Timothy Wilson', 'RANGER', 'HALF_ORC', 18443, 16)
('Jonathan Adams', 'DRUID', 'DRAGONBORN', 14689, 14)
('Tina Roach', 'ROGUE', 'HUMAN', 10004, 19)
('Sara Patrick', 'MONK', 'HALF_ORC', 5965, 1)
('Albert Chen', 'PALADIN', 'HALFLING', 12886, 4)
('Mark Bradford', 'SORCERER', 'HALF_ELF', 1727, 6)
('Connie Martinez', 'ARTIFICER', 'HUMAN', 12941, 16)
('Benjamin Clark', 'RANGER', 'HALF_ORC', 5812, 17)
('Brian Henderson', 'ROGUE', 'HALF_ELF', 5241, 1)
('Austin Kirk', 'WIZARD', 'GNOME', 889, 2)
('Susan Richmond', 'WARLOCK', 'HALF_ELF', 1909, 18)
('Tommy Jones', 'BARBARIAN', 'DRAGONBORN', 12341, 16)
('Kristin Perry', 'PALADIN', 'DRAGONBORN', 16746, 3)
('Mary Hall', 'WARLOCK', 'ELF', 14078, 4)
('Olivia Gutierrez', 'FIGHTER', 'ELF', 6755, 9)
('Julia Johnson', 'MONK', 'ELF', 12210, 15)
('Crystal Johnson', 'FIGHTER', 'GNOME', 18935, 18)
('Benjamin Lewis', 'SORCERER', 'HALFLING', 4801, 19)
('Amanda Farrell', 'BARD', 'DWARF', 2765, 16)
('Tommy Cook', 'ARTIFICER', 'HALF_ELF', 8695, 14)
('Karen Martinez', 'BARD', 'HALF_ORC', 8269, 20)
('Eric Marks', 'BARD', 'DRAGONBORN', 8297, 8)
('Lisa Lowe', 'SORCERER', 'ELF', 4445, 10)
('Bryce Simmons', 'PALADIN', 'HUMAN', 19364, 15)
('Marcus Dixon MD', 'BARBARIAN', 'HALF_ORC', 7636, 1)
('Casey Lopez', 'WARLOCK', 'HALFLING', 3080, 7)
('Maria Jones', 'CLERIC', 'DRAGONBORN', 14021, 10)
('Robert Dunn', 'WARLOCK', 'DWARF', 15698, 13)
('Jessica Long', 'SORCERER', 'HALF_ORC', 139, 13)
('Kathryn Ward', 'CLERIC', 'GNOME', 19720, 16)
('Brittany Johnson', 'RANGER', 'HUMAN', 18344, 10)
('Elizabeth Schmitt', 'ARTIFICER', 'HALF_ELF', 13576, 8)
('Ryan Curtis', 'DRUID', 'DWARF', 7541, 5)
('Linda Owens', 'DRUID', 'HALF_ELF', 7421, 7)
('Brian Madden', 'CLERIC', 'HUMAN', 3551, 2)
('Scott Hill', 'CLERIC', 'ELF', 18175, 3)
('Jennifer Dennis', 'CLERIC', 'DRAGONBORN', 8935, 7)
('Teresa Cochran', 'BARBARIAN', 'HALFLING', 14878, 3)
('Jeffery Hood', 'BARD', 'HALF_ORC', 16578, 11)
('Marie Carey', 'ROGUE', 'GNOME', 12418, 15)
('Denise Walker', 'RANGER', 'DRAGONBORN', 2980, 1)
('Ronnie Charles', 'FIGHTER', 'HALFLING', 11195, 4)
('Dr. Jamie Maldonado Jr.', 'BARBARIAN', 'HUMAN', 1742, 3)
('Jennifer Richmond', 'BARBARIAN', 'HALFLING', 6516, 5)
('Vanessa Wyatt', 'RANGER', 'TIEFLING', 3894, 7)
('Charles Haney', 'ARTIFICER', 'ELF', 10991, 8)
('Robert Parker', 'WIZARD', 'HUMAN', 17063, 2)
('Joshua Patterson', 'CLERIC', 'DRAGONBORN', 10894, 7)
('Andrew Colon', 'RANGER', 'HALF_ORC', 2087, 17)
('Elizabeth Taylor', 'ROGUE', 'HALFLING', 2685, 7)
('Erin Ramos', 'BARD', 'HALFLING', 14038, 12)
('Benjamin West', 'FIGHTER', 'HUMAN', 19720, 11)
('Christina Ballard', 'PALADIN', 'HUMAN', 15039, 4)
('Louis Taylor', 'WARLOCK', 'DRAGONBORN', 13457, 8)
('Tina Herring', 'FIGHTER', 'HUMAN', 4563, 1)
('Andrea Sanchez', 'WIZARD', 'TIEFLING', 14424, 5)
('Joshua Rodriguez', 'BARD', 'TIEFLING', 7020, 3)
('Kelly Hall', 'WIZARD', 'GNOME', 5020, 8)
('Alexander Jackson', 'FIGHTER', 'DRAGONBORN', 15645, 17)
('Drew Hayes', 'RANGER', 'ELF', 16309, 18)
('Matthew Stone', 'BARD', 'HUMAN', 11385, 4)
('Jacob Aguilar', 'BARBARIAN', 'ELF', 2270, 16)
('Megan Wong', 'BARD', 'HALF_ELF', 9603, 1)
('Lydia Adams', 'DRUID', 'HALF_ORC', 3256, 1)
('Crystal Scott', 'MONK', 'ELF', 18556, 9)
('Brandon Brown', 'ROGUE', 'HALF_ORC', 9879, 20)
('Adam Gross', 'CLERIC', 'ELF', 5618, 14)
('Laurie Wilson', 'ROGUE', 'HALF_ELF', 2406, 2)
('Sean Walker', 'WIZARD', 'TIEFLING', 7425, 6)
('Holly Bullock', 'FIGHTER', 'HUMAN', 5687, 15)
('Stephanie Higgins', 'CLERIC', 'DRAGONBORN', 12327, 7)
('Jeffrey Compton', 'CLERIC', 'HALFLING', 2718, 13)
('Mario Bolton', 'SORCERER', 'HALF_ORC', 13147, 12)
('Amanda Harding', 'MONK', 'DWARF', 4693, 13)
('Ryan Bell', 'BARBARIAN', 'TIEFLING', 10795, 6)
('James Jones', 'CLERIC', 'DWARF', 13474, 9)
('Elizabeth Becker', 'ARTIFICER', 'HALFLING', 11086, 17)
('Michelle Simmons', 'WIZARD', 'GNOME', 10223, 18)
('Renee Navarro', 'SORCERER', 'DRAGONBORN', 19240, 1)
('Brian Gibson', 'ARTIFICER', 'GNOME', 6006, 8)
('Heather Schultz', 'SORCERER', 'ELF', 19404, 4)
('Connie Wolf', 'SORCERER', 'TIEFLING', 18642, 15)
('Ian Macias', 'MONK', 'HALF_ELF', 13689, 20)
('Sheila Jones', 'DRUID', 'DWARF', 8212, 14)
('Jonathon Smith', 'PALADIN', 'HUMAN', 14854, 9)
('Mary Jackson', 'RANGER', 'ELF', 2844, 15)
('Jonathan Ochoa', 'MONK', 'TIEFLING', 5957, 3)
('Jessica Jenkins', 'ARTIFICER', 'DWARF', 17145, 15)
('Daniel Donaldson', 'CLERIC', 'DWARF', 9362, 3)
('Teresa Reed', 'WARLOCK', 'DRAGONBORN', 11887, 13)
('Jessica Harris', 'BARD', 'HALF_ORC', 15741, 4)
('Ryan Warren', 'RANGER', 'GNOME', 4154, 19)
('Kenneth Shields', 'BARBARIAN', 'HUMAN', 12327, 17)
('Anthony Wang', 'WARLOCK', 'TIEFLING', 6592, 11)
('Katie Mills', 'WIZARD', 'HALFLING', 1058, 19)
('Robert Ellison', 'ARTIFICER', 'TIEFLING', 3124, 16)
('Krista Galvan', 'DRUID', 'GNOME', 12555, 13)
('David Jones', 'FIGHTER', 'ELF', 8740, 3)
('Jonathan Ortiz', 'BARBARIAN', 'DWARF', 14694, 4)
('David Moore', 'BARBARIAN', 'GNOME', 18797, 12)
('Charles Stewart', 'RANGER', 'HUMAN', 16827, 18)
('Morgan Patton', 'BARBARIAN', 'DWARF', 4947, 16)
('Cameron Robinson', 'PALADIN', 'HALF_ELF', 16343, 8)
('Wayne Small', 'DRUID', 'ELF', 7739, 17)
('Michele Navarro', 'DRUID', 'HUMAN', 3571, 15)
('Ronald Johnston', 'BARBARIAN', 'HALF_ORC', 751, 6)
('Brittany Escobar', 'CLERIC', 'HALFLING', 14562, 13)
