('Michael Hall', 'FIGHTER', 'HALF_ELF', 17915, 7)
('Ryan Hancock', 'DRUID', 'HALF_ELF', 8831, 13)
('Terry Thompson', 'FIGHTER', 'GNOME', 4691, 2)
('Cynthia Howell', 'RANGER', 'DWARF', 6831, 12)
('Allison Hobbs', 'BARD', 'TIEFLING', 15634, 20)
('George Miller', 'WIZARD', 'DRAGONBORN', 1634, 11)
('Steven Ray', 'WARLOCK', 'TIEFLING', 2162, 2)
('Michelle Davila', 'DRUID', 'DWARF', 11510, 14)
('Austin Crosby', 'DRUID', 'GNOME', 11115, 14)
('Gregory Brennan', 'SORCERER', 'HALF_ELF', 17835, 11)
('John Henry', 'DRUID', 'GNOME', 8367, 7)
('Melissa Simmons', 'WARLOCK', 'HALF_ORC', 17553, 20)
('Derrick Jackson', 'CLERIC', 'ELF', 16335, 20)
('Jonathan Cannon', 'WARLOCK', 'HALFLING', 3941, 3)
('Terry Whitney', 'RANGER', 'DWARF', 11525, 12)
('Tammie Miller', 'CLERIC', 'ELF', 17084, 4)
('Elizabeth Perez', 'ARTIFICER', 'HUMAN', 12211, 4)
('John Griffin', 'CLERIC', 'GNOME', 15416, 13)
('Brian Estes', 'WARLOCK', 'TIEFLING', 1516, 7)
('Jason Butler', 'SORCERER', 'TIEFLING', 2418, 10)
('Chase Benton', 'FIGHTER', 'HALF_ORC', 6556, 9)
('Alyssa House', 'WARLOCK', 'HALF_ORC', 7726, 17)
('Maria Ferrell', 'DRUID', 'HALF_ELF', 12914, 20)
('Kara Conway', 'FIGHTER', 'HUMAN', 18727, 6)
('Jessica Webster', 'DRUID', 'TIEFLING', 5416, 2)
('Emily Spears', 'ROGUE', 'DRAGONBORN', 10155, 9)
('Christopher Little', 'BARBARIAN', 'HUMAN', 8543, 6)
('Christopher Clark', 'DRUID', 'GNOME', 12566, 17)
('Ronnie Walters', 'RANGER', 'TIEFLING', 1606, 1)
('Nicholas Adams', 'ROGUE', 'HALF_ELF', 11120, 7)
('Daniel Barnes', 'WIZARD', 'DWARF', 3345, 8)
('Taylor Jordan', 'BARD', 'HUMAN', 19972, 12)
('James Robinson', 'DRUID', 'HALF_ORC', 19386, 15)
('Calvin Pham', 'PALADIN', 'DWARF', 3076, 16)
('Stephen Douglas', 'WIZARD', 'DRAGONBORN', 11452, 12)
('Susan Mayer', 'DRUID', 'DWARF', 9748, 6)
('Pam Melendez', 'FIGHTER', 'DRAGONBORN', 16161, 3)
('Alex Norman', 'DRUID', 'DWARF', 14489, 18)
('Amanda Peterson', 'WIZARD', 'HALF_ORC', 9127, 5)
('Michael Estes', 'BARD', 'TIEFLING', 14237, 19)
('Jamie Reyes', 'FIGHTER', 'HALF_ELF', 17472, 12)
('Nicholas Warner', 'PALADIN', 'DRAGONBORN', 3114, 7)
('Rebecca Bautista', 'ROGUE', 'ELF', 182, 4)
('Derek Wood', 'MONK', 'HUMAN', 17032, 14)
('Mr. Danny Gonzalez', 'PALADIN', 'HUMAN', 2880, 10)
('Lisa Lawrence', 'BARD', 'HALF_ELF', 17760, 18)
('Brian Flores MD', 'ARTIFICER', 'GNOME', 12079, 9)
